text,label
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
Call aku nanti free,SAFE
"We detected login from Nigeria, confirm identity bank-secure.com/login",SCAM
Jom makan dekat cafe kampus,SAFE
"Customs hold parcel, pay RM3134 release fee",SCAM
Let’s study together for exam,SAFE
Jom makan dekat cafe kampus,SAFE
"Customs hold parcel, pay RM1631 release fee",SCAM
Let’s study together for exam,SAFE
Where are you now bro?,SAFE
Assignment dah siap belum?,SAFE
"You win RM1695 cash, claim now sebelum expired",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"Customs hold parcel, pay RM3585 release fee",SCAM
Jom makan dekat cafe kampus,SAFE
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
"We detected login from Nigeria, confirm identity sh0pee-help.net",SCAM
Aku dah hantar report tu,SAFE
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
"Shopee parcel stuck kastam, bayar RM602 untuk release",SCAM
"Loan approved instant RM2494, send IC & bank details",SCAM
"Job part time RM1636/day, no experience needed, join link bank-secure.com/login",SCAM
Let’s study together for exam,SAFE
Aku tengah buat project AI ni,SAFE
Weh kau free tak malam ni?,SAFE
"Free RM4873 voucher, claim sekarang bit.ly/verify",SCAM
"Shopee parcel stuck kastam, bayar RM843 untuk release",SCAM
Apa plan weekend ni?,SAFE
Assignment dah siap belum?,SAFE
"Good morning bro, bangun cepat",SAFE
"Free RM2702 voucher, claim sekarang bank-secure.com/login",SCAM
"Shopee parcel stuck kastam, bayar RM3627 untuk release",SCAM
Where are you now bro?,SAFE
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"Loan approved instant RM1101, send IC & bank details",SCAM
"We detected login from Unknown, confirm identity sh0pee-help.net",SCAM
Apa plan weekend ni?,SAFE
"Loan approved instant RM1230, send IC & bank details",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
Thanks bro tolong aku tadi,SAFE
Thanks bro tolong aku tadi,SAFE
Where are you now bro?,SAFE
Weh kau free tak malam ni?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
Apa plan weekend ni?,SAFE
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
Aku dah hantar report tu,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Assignment dah siap belum?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bit.ly/verify",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
You datang lecture tak hari ni?,SAFE
You datang lecture tak hari ni?,SAFE
Where are you now bro?,SAFE
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
Call aku nanti free,SAFE
You datang lecture tak hari ni?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
"Free RM4115 voucher, claim sekarang tng-update.com",SCAM
"Good morning bro, bangun cepat",SAFE
Thanks bro tolong aku tadi,SAFE
Weh kau free tak malam ni?,SAFE
Aku tengah buat project AI ni,SAFE
"We detected login from India, confirm identity tng-update.com",SCAM
"We detected login from Philippines, confirm identity sh0pee-help.net",SCAM
"Job part time RM2440/day, no experience needed, join link tng-update.com",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
Let’s study together for exam,SAFE
"Good morning bro, bangun cepat",SAFE
Kita jumpa esok kelas 10am,SAFE
"We detected login from India, confirm identity sh0pee-help.net",SCAM
"Customs hold parcel, pay RM164 release fee",SCAM
"We detected login from Philippines, confirm identity bit.ly/verify",SCAM
Assignment dah siap belum?,SAFE
"Good morning bro, bangun cepat",SAFE
Aku lambat sikit traffic jam,SAFE
"Free RM4744 voucher, claim sekarang tng-update.com",SCAM
"You win RM2798 cash, claim now sebelum expired",SCAM
"Good morning bro, bangun cepat",SAFE
"Loan approved instant RM4395, send IC & bank details",SCAM
"Loan approved instant RM480, send IC & bank details",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
Assignment dah siap belum?,SAFE
"Job part time RM1141/day, no experience needed, join link bit.ly/verify",SCAM
Aku dah hantar report tu,SAFE
"Shopee parcel stuck kastam, bayar RM1577 untuk release",SCAM
Call aku nanti free,SAFE
"Your email hacked, reset password immediately tng-update.com",SCAM
Assignment dah siap belum?,SAFE
"Free RM1234 voucher, claim sekarang tng-update.com",SCAM
Weh kau free tak malam ni?,SAFE
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
Thanks bro tolong aku tadi,SAFE
Let’s study together for exam,SAFE
"You win RM4938 cash, claim now sebelum expired",SCAM
"TNG eWallet kena suspend, login untuk aktifkan bit.ly/verify",SCAM
"We detected login from India, confirm identity bit.ly/verify",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"Shopee parcel stuck kastam, bayar RM2156 untuk release",SCAM
"You win RM1230 cash, claim now sebelum expired",SCAM
Call aku nanti free,SAFE
Weh kau free tak malam ni?,SAFE
"We detected login from Nigeria, confirm identity sh0pee-help.net",SCAM
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
Weh kau free tak malam ni?,SAFE
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
Aku tengah buat project AI ni,SAFE
Assignment dah siap belum?,SAFE
You datang lecture tak hari ni?,SAFE
You datang lecture tak hari ni?,SAFE
"Shopee parcel stuck kastam, bayar RM1853 untuk release",SCAM
You datang lecture tak hari ni?,SAFE
Where are you now bro?,SAFE
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
Where are you now bro?,SAFE
"You win RM3449 cash, claim now sebelum expired",SCAM
Kita jumpa esok kelas 10am,SAFE
Kita jumpa esok kelas 10am,SAFE
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
"Job part time RM337/day, no experience needed, join link tng-update.com",SCAM
Let’s study together for exam,SAFE
Weh kau free tak malam ni?,SAFE
Aku dah hantar report tu,SAFE
Dinner rumah mak malam ni,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Jom makan dekat cafe kampus,SAFE
Aku dah hantar report tu,SAFE
"Free RM2978 voucher, claim sekarang sh0pee-help.net",SCAM
Let’s study together for exam,SAFE
"You win RM3651 cash, claim now sebelum expired",SCAM
Dinner rumah mak malam ni,SAFE
Where are you now bro?,SAFE
Let’s study together for exam,SAFE
Aku tengah buat project AI ni,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Jom makan dekat cafe kampus,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
Call aku nanti free,SAFE
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
Kita jumpa esok kelas 10am,SAFE
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
"You win RM174 cash, claim now sebelum expired",SCAM
"Good morning bro, bangun cepat",SAFE
"Shopee parcel stuck kastam, bayar RM2682 untuk release",SCAM
Kita jumpa esok kelas 10am,SAFE
Where are you now bro?,SAFE
Call aku nanti free,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
Where are you now bro?,SAFE
Aku dah hantar report tu,SAFE
Aku lambat sikit traffic jam,SAFE
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"Good morning bro, bangun cepat",SAFE
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
Aku lambat sikit traffic jam,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
Where are you now bro?,SAFE
You datang lecture tak hari ni?,SAFE
"You win RM2752 cash, claim now sebelum expired",SCAM
Assignment dah siap belum?,SAFE
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
"You win RM4789 cash, claim now sebelum expired",SCAM
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Apa plan weekend ni?,SAFE
"We detected login from Philippines, confirm identity tng-update.com",SCAM
Aku dah hantar report tu,SAFE
Apa plan weekend ni?,SAFE
Let’s study together for exam,SAFE
"Customs hold parcel, pay RM1414 release fee",SCAM
Weh kau free tak malam ni?,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
"Good morning bro, bangun cepat",SAFE
"Shopee parcel stuck kastam, bayar RM3849 untuk release",SCAM
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
"We detected login from India, confirm identity bank-secure.com/login",SCAM
Call aku nanti free,SAFE
Where are you now bro?,SAFE
Weh kau free tak malam ni?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan bit.ly/verify",SCAM
"You win RM1522 cash, claim now sebelum expired",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
Aku lambat sikit traffic jam,SAFE
"Loan approved instant RM623, send IC & bank details",SCAM
Dinner rumah mak malam ni,SAFE
"We detected login from Philippines, confirm identity bank-secure.com/login",SCAM
Weh kau free tak malam ni?,SAFE
Apa plan weekend ni?,SAFE
Call aku nanti free,SAFE
Dinner rumah mak malam ni,SAFE
Dinner rumah mak malam ni,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
Let’s study together for exam,SAFE
"Customs hold parcel, pay RM4474 release fee",SCAM
"Shopee parcel stuck kastam, bayar RM1149 untuk release",SCAM
Aku lambat sikit traffic jam,SAFE
"Police report: you involved in case, contact urgent tng-update.com",SCAM
Kita jumpa esok kelas 10am,SAFE
Dinner rumah mak malam ni,SAFE
Apa plan weekend ni?,SAFE
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
"Your email hacked, reset password immediately bit.ly/verify",SCAM
"Customs hold parcel, pay RM4951 release fee",SCAM
Assignment dah siap belum?,SAFE
"Bank Negara report: account suspicious activity, verify bank-secure.com/login",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"We detected login from Unknown, confirm identity tng-update.com",SCAM
"Good morning bro, bangun cepat",SAFE
"You win RM2541 cash, claim now sebelum expired",SCAM
Weh kau free tak malam ni?,SAFE
"Free RM3987 voucher, claim sekarang bank-secure.com/login",SCAM
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
Let’s study together for exam,SAFE
Let’s study together for exam,SAFE
"Loan approved instant RM1561, send IC & bank details",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"Your email hacked, reset password immediately tng-update.com",SCAM
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Aku dah hantar report tu,SAFE
Kita jumpa esok kelas 10am,SAFE
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Your email hacked, reset password immediately bit.ly/verify",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
Let’s study together for exam,SAFE
Aku dah hantar report tu,SAFE
"Your email hacked, reset password immediately bit.ly/verify",SCAM
Weh kau free tak malam ni?,SAFE
Aku tengah buat project AI ni,SAFE
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"TNG eWallet kena suspend, login untuk aktifkan bank-secure.com/login",SCAM
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
Where are you now bro?,SAFE
"Customs hold parcel, pay RM1558 release fee",SCAM
"Job part time RM2789/day, no experience needed, join link tng-update.com",SCAM
You datang lecture tak hari ni?,SAFE
Assignment dah siap belum?,SAFE
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Good morning bro, bangun cepat",SAFE
Assignment dah siap belum?,SAFE
Apa plan weekend ni?,SAFE
"Your email hacked, reset password immediately bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
Let’s study together for exam,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"Loan approved instant RM2608, send IC & bank details",SCAM
Jom makan dekat cafe kampus,SAFE
Weh kau free tak malam ni?,SAFE
"Account anda akan dibekukan segera, verify sekarang tng-update.com",SCAM
"Police report: you involved in case, contact urgent tng-update.com",SCAM
"OTP needed to verify transaction, send cepat",SCAM
Aku dah hantar report tu,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"We detected login from Nigeria, confirm identity sh0pee-help.net",SCAM
You datang lecture tak hari ni?,SAFE
Aku tengah buat project AI ni,SAFE
Thanks bro tolong aku tadi,SAFE
"We detected login from India, confirm identity bank-secure.com/login",SCAM
Aku tengah buat project AI ni,SAFE
"Loan approved instant RM2002, send IC & bank details",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
You datang lecture tak hari ni?,SAFE
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
Assignment dah siap belum?,SAFE
"Free RM665 voucher, claim sekarang sh0pee-help.net",SCAM
"Job part time RM1047/day, no experience needed, join link bit.ly/verify",SCAM
Call aku nanti free,SAFE
"Free RM1491 voucher, claim sekarang sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
Dinner rumah mak malam ni,SAFE
"Shopee parcel stuck kastam, bayar RM1915 untuk release",SCAM
Let’s study together for exam,SAFE
Aku dah hantar report tu,SAFE
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
You datang lecture tak hari ni?,SAFE
Let’s study together for exam,SAFE
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
"Bank Negara report: account suspicious activity, verify sh0pee-help.net",SCAM
"Customs hold parcel, pay RM4465 release fee",SCAM
Kita jumpa esok kelas 10am,SAFE
Aku lambat sikit traffic jam,SAFE
"You win RM3827 cash, claim now sebelum expired",SCAM
"Customs hold parcel, pay RM1260 release fee",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
"Good morning bro, bangun cepat",SAFE
"Free RM299 voucher, claim sekarang sh0pee-help.net",SCAM
Jom makan dekat cafe kampus,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
Let’s study together for exam,SAFE
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"Good morning bro, bangun cepat",SAFE
You datang lecture tak hari ni?,SAFE
Assignment dah siap belum?,SAFE
"Job part time RM2348/day, no experience needed, join link tng-update.com",SCAM
"Free RM3777 voucher, claim sekarang sh0pee-help.net",SCAM
Weh kau free tak malam ni?,SAFE
Aku dah hantar report tu,SAFE
"Your email hacked, reset password immediately bit.ly/verify",SCAM
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
"Free RM1482 voucher, claim sekarang sh0pee-help.net",SCAM
"Free RM1666 voucher, claim sekarang bit.ly/verify",SCAM
Call aku nanti free,SAFE
Let’s study together for exam,SAFE
Aku tengah buat project AI ni,SAFE
Aku dah hantar report tu,SAFE
You datang lecture tak hari ni?,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Thanks bro tolong aku tadi,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
Weh kau free tak malam ni?,SAFE
"Account anda akan dibekukan segera, verify sekarang tng-update.com",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
Aku tengah buat project AI ni,SAFE
Aku tengah buat project AI ni,SAFE
Kita jumpa esok kelas 10am,SAFE
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"You win RM1520 cash, claim now sebelum expired",SCAM
Aku tengah buat project AI ni,SAFE
"OTP needed to verify transaction, send cepat",SCAM
Jom makan dekat cafe kampus,SAFE
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
Let’s study together for exam,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
Aku dah hantar report tu,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
Kita jumpa esok kelas 10am,SAFE
"You win RM4713 cash, claim now sebelum expired",SCAM
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
"Free RM2582 voucher, claim sekarang bit.ly/verify",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Shopee parcel stuck kastam, bayar RM2591 untuk release",SCAM
Assignment dah siap belum?,SAFE
"Police report: you involved in case, contact urgent bank-secure.com/login",SCAM
Let’s study together for exam,SAFE
"We detected login from Philippines, confirm identity sh0pee-help.net",SCAM
Aku lambat sikit traffic jam,SAFE
"Police report: you involved in case, contact urgent tng-update.com",SCAM
Apa plan weekend ni?,SAFE
"You win RM2445 cash, claim now sebelum expired",SCAM
Aku lambat sikit traffic jam,SAFE
"We detected login from India, confirm identity tng-update.com",SCAM
Where are you now bro?,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Thanks bro tolong aku tadi,SAFE
Kita jumpa esok kelas 10am,SAFE
"Account anda akan dibekukan segera, verify sekarang tng-update.com",SCAM
Jom makan dekat cafe kampus,SAFE
Where are you now bro?,SAFE
"Police report: you involved in case, contact urgent tng-update.com",SCAM
"Job part time RM3429/day, no experience needed, join link bit.ly/verify",SCAM
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
"Free RM1372 voucher, claim sekarang tng-update.com",SCAM
"Customs hold parcel, pay RM1495 release fee",SCAM
"Job part time RM3867/day, no experience needed, join link tng-update.com",SCAM
Aku tengah buat project AI ni,SAFE
Aku lambat sikit traffic jam,SAFE
Weh kau free tak malam ni?,SAFE
"Good morning bro, bangun cepat",SAFE
"Loan approved instant RM1973, send IC & bank details",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
Dinner rumah mak malam ni,SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
"You win RM1564 cash, claim now sebelum expired",SCAM
"Shopee parcel stuck kastam, bayar RM4538 untuk release",SCAM
Dinner rumah mak malam ni,SAFE
"Good morning bro, bangun cepat",SAFE
Aku dah hantar report tu,SAFE
You datang lecture tak hari ni?,SAFE
Call aku nanti free,SAFE
Kita jumpa esok kelas 10am,SAFE
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
Aku dah hantar report tu,SAFE
Kita jumpa esok kelas 10am,SAFE
"Your email hacked, reset password immediately tng-update.com",SCAM
Call aku nanti free,SAFE
Thanks bro tolong aku tadi,SAFE
Jom makan dekat cafe kampus,SAFE
Let’s study together for exam,SAFE
"Free RM2961 voucher, claim sekarang bank-secure.com/login",SCAM
Aku tengah buat project AI ni,SAFE
"Police report: you involved in case, contact urgent bit.ly/verify",SCAM
Jom makan dekat cafe kampus,SAFE
Call aku nanti free,SAFE
"Job part time RM817/day, no experience needed, join link tng-update.com",SCAM
Call aku nanti free,SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
Kita jumpa esok kelas 10am,SAFE
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
Assignment dah siap belum?,SAFE
Aku lambat sikit traffic jam,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
"Investment crypto profit 200% guaranteed, join now bit.ly/verify",SCAM
"You win RM3426 cash, claim now sebelum expired",SCAM
"Shopee parcel stuck kastam, bayar RM1232 untuk release",SCAM
"You win RM1428 cash, claim now sebelum expired",SCAM
"Shopee parcel stuck kastam, bayar RM1909 untuk release",SCAM
"Account anda akan dibekukan segera, verify sekarang sh0pee-help.net",SCAM
Call aku nanti free,SAFE
"Free RM4585 voucher, claim sekarang bank-secure.com/login",SCAM
"Loan approved instant RM819, send IC & bank details",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
Call aku nanti free,SAFE
"Police report: you involved in case, contact urgent tng-update.com",SCAM
Jom makan dekat cafe kampus,SAFE
Aku lambat sikit traffic jam,SAFE
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
Thanks bro tolong aku tadi,SAFE
"Free RM2722 voucher, claim sekarang tng-update.com",SCAM
Dinner rumah mak malam ni,SAFE
Call aku nanti free,SAFE
Call aku nanti free,SAFE
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
"Job part time RM310/day, no experience needed, join link tng-update.com",SCAM
Call aku nanti free,SAFE
Aku tengah buat project AI ni,SAFE
Aku tengah buat project AI ni,SAFE
Thanks bro tolong aku tadi,SAFE
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
"Your email hacked, reset password immediately tng-update.com",SCAM
"Customs hold parcel, pay RM3925 release fee",SCAM
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
"Police report: you involved in case, contact urgent sh0pee-help.net",SCAM
"Shopee parcel stuck kastam, bayar RM123 untuk release",SCAM
Dinner rumah mak malam ni,SAFE
Aku dah hantar report tu,SAFE
"Job part time RM943/day, no experience needed, join link tng-update.com",SCAM
You datang lecture tak hari ni?,SAFE
"Loan approved instant RM4313, send IC & bank details",SCAM
"Good morning bro, bangun cepat",SAFE
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
Let’s study together for exam,SAFE
"Customs hold parcel, pay RM3808 release fee",SCAM
Thanks bro tolong aku tadi,SAFE
Dinner rumah mak malam ni,SAFE
You datang lecture tak hari ni?,SAFE
"Good morning bro, bangun cepat",SAFE
"Investment crypto profit 200% guaranteed, join now tng-update.com",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"Good morning bro, bangun cepat",SAFE
"TNG eWallet kena suspend, login untuk aktifkan tng-update.com",SCAM
Apa plan weekend ni?,SAFE
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
"Police report: you involved in case, contact urgent tng-update.com",SCAM
"Customs hold parcel, pay RM2409 release fee",SCAM
Jom makan dekat cafe kampus,SAFE
Assignment dah siap belum?,SAFE
Aku dah hantar report tu,SAFE
Aku lambat sikit traffic jam,SAFE
"OTP needed to verify transaction, send cepat",SCAM
"We detected login from India, confirm identity tng-update.com",SCAM
"Job part time RM2818/day, no experience needed, join link sh0pee-help.net",SCAM
"Account anda akan dibekukan segera, verify sekarang bit.ly/verify",SCAM
"OTP needed to verify transaction, send cepat",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"Loan approved instant RM3619, send IC & bank details",SCAM
"Police report: you involved in case, contact urgent tng-update.com",SCAM
"Loan approved instant RM851, send IC & bank details",SCAM
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
"Your email hacked, reset password immediately tng-update.com",SCAM
"We detected login from India, confirm identity tng-update.com",SCAM
Aku lambat sikit traffic jam,SAFE
Weh kau free tak malam ni?,SAFE
"Bank kau kena block, click link ni cepat bank-secure.com/login",SCAM
"Good morning bro, bangun cepat",SAFE
Weh kau free tak malam ni?,SAFE
Apa plan weekend ni?,SAFE
Aku dah hantar report tu,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Jom makan dekat cafe kampus,SAFE
"Free RM4470 voucher, claim sekarang bit.ly/verify",SCAM
"Good morning bro, bangun cepat",SAFE
"We detected login from India, confirm identity tng-update.com",SCAM
"Police report: you involved in case, contact urgent tng-update.com",SCAM
"Free RM1053 voucher, claim sekarang bit.ly/verify",SCAM
Aku lambat sikit traffic jam,SAFE
"You win RM3782 cash, claim now sebelum expired",SCAM
"Free RM1129 voucher, claim sekarang bank-secure.com/login",SCAM
Let’s study together for exam,SAFE
Kita jumpa esok kelas 10am,SAFE
You datang lecture tak hari ni?,SAFE
Assignment dah siap belum?,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
"Investment crypto profit 200% guaranteed, join now sh0pee-help.net",SCAM
You datang lecture tak hari ni?,SAFE
Assignment dah siap belum?,SAFE
Aku lambat sikit traffic jam,SAFE
Let’s study together for exam,SAFE
"Customs hold parcel, pay RM1417 release fee",SCAM
"Shopee parcel stuck kastam, bayar RM3737 untuk release",SCAM
"You win RM3685 cash, claim now sebelum expired",SCAM
"We detected login from Unknown, confirm identity tng-update.com",SCAM
"Bank Negara report: account suspicious activity, verify tng-update.com",SCAM
"Your email hacked, reset password immediately sh0pee-help.net",SCAM
"Shopee parcel stuck kastam, bayar RM760 untuk release",SCAM
You datang lecture tak hari ni?,SAFE
Dinner rumah mak malam ni,SAFE
"We detected login from Nigeria, confirm identity bank-secure.com/login",SCAM
"Loan approved instant RM4059, send IC & bank details",SCAM
"Job part time RM3647/day, no experience needed, join link bit.ly/verify",SCAM
Aku lambat sikit traffic jam,SAFE
"Shopee parcel stuck kastam, bayar RM834 untuk release",SCAM
"Loan approved instant RM480, send IC & bank details",SCAM
Thanks bro tolong aku tadi,SAFE
You datang lecture tak hari ni?,SAFE
Aku dah hantar report tu,SAFE
Where are you now bro?,SAFE
"Bank Negara report: account suspicious activity, verify bit.ly/verify",SCAM
Thanks bro tolong aku tadi,SAFE
Jom makan dekat cafe kampus,SAFE
"Bank kau kena block, click link ni cepat tng-update.com",SCAM
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
Thanks bro tolong aku tadi,SAFE
"We detected login from Unknown, confirm identity bank-secure.com/login",SCAM
Weh kau free tak malam ni?,SAFE
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
"TNG eWallet kena suspend, login untuk aktifkan sh0pee-help.net",SCAM
Let’s study together for exam,SAFE
Dinner rumah mak malam ni,SAFE
Dinner rumah mak malam ni,SAFE
You datang lecture tak hari ni?,SAFE
Aku tengah buat project AI ni,SAFE
"Shopee parcel stuck kastam, bayar RM2035 untuk release",SCAM
Weh kau free tak malam ni?,SAFE
"Your email hacked, reset password immediately bit.ly/verify",SCAM
"Free RM2565 voucher, claim sekarang bank-secure.com/login",SCAM
Apa plan weekend ni?,SAFE
Call aku nanti free,SAFE
"Account anda akan dibekukan segera, verify sekarang bank-secure.com/login",SCAM
"Good morning bro, bangun cepat",SAFE
Weh kau free tak malam ni?,SAFE
"Bank kau kena block, click link ni cepat sh0pee-help.net",SCAM
Aku lambat sikit traffic jam,SAFE
Weh kau free tak malam ni?,SAFE
"Good morning bro, bangun cepat",SAFE
"Job part time RM1496/day, no experience needed, join link sh0pee-help.net",SCAM
"Investment crypto profit 200% guaranteed, join now bank-secure.com/login",SCAM
Kita jumpa esok kelas 10am,SAFE
Aku lambat sikit traffic jam,SAFE
Thanks bro tolong aku tadi,SAFE
Weh kau free tak malam ni?,SAFE
Aku lambat sikit traffic jam,SAFE
"Free RM2494 voucher, claim sekarang sh0pee-help.net",SCAM
"Bank kau kena block, click link ni cepat bit.ly/verify",SCAM
Let’s study together for exam,SAFE
You datang lecture tak hari ni?,SAFE
Aku dah hantar report tu,SAFE
